key	text	tooltip
cdir_events_dilemma_choice_details_localised_choice_title_vco_dwf_gro_dilemma_elvesSECOND	Malekith dimostrò che non ci si può fidare degli Elgi. È nella loro natura mentire e decidere, e i Dawi sarebbero sciocchi a dimenticare questo. La Guerra di Vendetta ricomincerà, e questa volta non finirà finché non avremo la loro resa incondizionata. Raduna le schiere - marciamo verso Ulthuan!	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidFIRST	I cavalieri di Bretonnia sono molto lontani dai cupi problemi del nord, ma sono sempre affamati di gloria e sicuramente useranno quest'occasione per dimostrare il loro valore.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidFOURTH	Gli Elfi della lontana Ulthuan un tempo vennero in aiuto di Kislev nella sua ora più buia. Quel tempo è tornato. Anche se sono impegnati in una guerra civile che dura da secoli, potrebbero essere disposti a combattere ancora una volta al nostro fianco.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidSECOND	È improbabile che il Re Sventratore di Karak Kadrin marcerà in nostra difesa mentre il suo territorio è sotto costante attacco da Pelleverde e Vampiri, ma i suoi sventratori cercamorte potrebbero essere attirati alla nostra causa se insistiamo che la nostra situazione è di rovina imminente.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_ksl_kat_dilemma_call_for_aidTHIRD	Siamo lo scudo dell'Impero, tutto ciò che si frappone tra loro e le vaste legioni del Caos. I Conti Elettori litigiosi farebbero bene a ricordarlo. È nel loro reciproco interesse prestarci il loro sostegno.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_mdr_dilemma_ultimate_harvestFIRST	Per lunghi anni, ogni pensiero, ogni azione di Throt è stata dominata dalla fame. Mentre la polpa divina della Regina-Mago raggiunge il suo intestino bollente, la sua mente si schiarisce e si rivolge immediatamente al prossimo esperimento. Delle foreste e di quelli all'interno, Throt non si preoccupa. Lasciate che il caos li prende.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_mdr_dilemma_ultimate_harvestSECOND	Mentre la polpa divina della Regina-Mago bolle allegramente nel calderone, Throt considera se accumulare la carne divina sia nei migliori interessi del suo clan. Sicuramente altri clan pagherebbero il riscatto di un re per avere anche una sola fiala del prezioso liquido...	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_man_dilemma_ossified_portalFIRST	Devo tornare al castello di Drakenhof e studiare questi libri ulteriormente. Il mio sire sicuramente rinuncerà alla sua pretesa una volta che sarà testimone del mio nuovo potere. Altrimenti... subirà lo stesso destino dei Diavoli di Swartzhafen.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_man_dilemma_ossified_portalSECOND	Queste dune nascondono ancora molti tesori. Il mio lavoro non è ancora finito qui.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_man_dilemma_ossified_portalTHIRD	Sylvania al momento non è un problema. Devo concentrare i miei sforzi altrove.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_aza_dilemma_supplicants_comeFIRST	Khazrak il Monocolo	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_aza_dilemma_supplicants_comeSECOND	Il Re di Bretonnia	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_aza_dilemma_supplicants_comeTHIRD	Il Bosco belligerante del Dolore	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_aza_dilemma_supplicants_comeFOURTH	La Regina dei Ghiacci	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_aza_dilemma_supplicants_comeFIRST	Questo Signore delle Bestie raglia ad alta voce per tutti di sentire. È un suono di lussuria primordiale, una promessa di molte notti di frenesia presto a venire.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_aza_dilemma_supplicants_comeSECOND	Il Bretonniano ti prega di staccargli la testa con la sua stessa lama, assolutamente convinto della giustificazione dell'atto.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_aza_dilemma_supplicants_comeTHIRD	Una Driade delle foreste si inginocchia davanti a te, sotto le sembianze seducenti di una bellissima e agile fanciulla elfica. Si dice che le sue capacità di seduzione rivaleggiano anche le tue...	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_aza_dilemma_supplicants_comeFOURTH	La Zarina di Kislev promette una notte di meraviglie nel suo Palazzo di Ghiaccio. Ti chiede solo di concederle un erede.	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_fes_dilemma_lustrian_plagueFIRST	Insudicia le Acque	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_fes_dilemma_lustrian_plagueSECOND	Contamina l'Aria	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_fes_dilemma_lustrian_plagueFIRST	Svuota il contenuto del Calderone Pestilenziale nel fiume Reik. Il contagio attraverserà l'Impero, portando morte e miseria a molti.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_fes_dilemma_lustrian_plagueSECOND	Attizzano le fornaci della peste sotto le loro città. L'aria contaminata si diffonderà dalle fogne, rendendo quasi inabitabili i maggiori centri abitati.	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_vil_dilemma_the_reckoningFIRST	Spezza la sua Mente	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_vil_dilemma_the_reckoningSECOND	Immobilizza il suo Corpo	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_vil_dilemma_the_reckoningFIRST	Frantuma la mente di Archaon, lasciandolo poco più di un automa farfugliante che obbedisce senza parole ad ogni comando di Vilitch.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_vil_dilemma_the_reckoningSECOND	Scolpisci la sua carne con rune tzeentchiane del legame. La sua mente rimarrà intatta, ma sarà intrappolato in un corpo che risponde solo al Deforme.	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_val_dilemma_nkari_approachesFIRST	Tagliagli la Testa	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_val_dilemma_nkari_approachesSECOND	Strappagli il Cuore	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_val_dilemma_nkari_approachesFIRST	Con un colpo secco, Valkia stacca la testa di N'Kari. Il suo teschio farà sicuramente un'offerta degna a Khorne!	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_val_dilemma_nkari_approachesSECOND	La Lancia Slaupnir canta, strappando abilmente il cuore di N'kari dal petto. Valkia sorride mentre lo morde, assaporando la forza rubata al Demone Maggiore.	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_hel_dilemma_dark_bargainFIRST	Accetta l'accordo	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_hel_dilemma_dark_bargainSECOND	Rifiuta l'accordo	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_hel_dilemma_dark_bargainFIRST	Con le lacrime agli occhi, Helman abbandona la sua ricerca e saluta i suoi fratelli per quella che sa essere l'ultima volta. Il Vessillo Demoniaco si frantuma e l'entità demoniaca all'interno si annida nel suo nuovo guscio mortale.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_hel_dilemma_dark_bargainSECOND	“Tu menti, demone! I miei fratelli non mi abbandonerebbero mai!”	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_cst_cyl_dilemma_finest_hourFIRST	La Follia di Malekith	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_cst_cyl_dilemma_finest_hourSECOND	Il Trionfo di Garamont	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_cst_cyl_dilemma_finest_hourTHIRD	Il Lamento di Finubar	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_cst_cyl_dilemma_finest_hourFOURTH	La Storia di Cylostra	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_cst_cyl_dilemma_finest_hourFIRST	Un'opera comica che descrive il disastroso tentativo di Malekith di entrare nella Fiamma di Asuryan. Sicuramente farà raddoppiare il suo pubblico dalle risate!	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_cst_cyl_dilemma_finest_hourSECOND	Questa canzone era molto popolare nella patria di Cylostra, Bretonnia. È una storia di trionfo che descrive la vittoria di Calarad di Garamont sul cavaliere caduto Merovech di Mousillon.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_cst_cyl_dilemma_finest_hourTHIRD	Una storia dolorosa sul cuore infedele di una Regina Eterna. Cylostra la canta così bene che perfino i pesci cominciano a piangere.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_cst_cyl_dilemma_finest_hourFOURTH	Una grandiosa rappresentazione operistica completa di scenografie elaborate, zombie in costume e persino un cameo di Cymbals, la scimmietta di Cylostra.	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_brt_rep_dilemma_eternal_warFIRST	La crociata delle Terre del Sud	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_brt_rep_dilemma_eternal_warSECOND	La crociata delle Badlands	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_brt_rep_dilemma_eternal_warFIRST	Repanse alza la spada al cielo e dichiara che i Chevaliers de Lyonesse marceranno a sud, nelle soffocanti giungle delle Terre del Sud. I contadini sussurrano preghiere e tengono stretti i loro ninnoli, poiché queste terre ricordano fortemente Athel Loren in patria.	true
cdir_events_dilemma_choice_details_localised_choice_title_vco_brt_rep_dilemma_eternal_warSECOND	Repanse punta la sua lama sacra verso nord, in direzione delle Maleterre. I Bretonniani non sono estranei ai Pelleverde. La possibilità di colpire la loro patria li mette a dura prova.	true
cdir_events_dilemma_choice_details_localised_choice_label_vco_chd_ast_dilemma_old_foeFIRST	Schiavizza Grimgor	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chd_ast_dilemma_old_foeSECOND	Giustizia Grimgor	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chd_ast_dilemma_old_foeFIRST	Invocando il potere di Hashut, Astragoth esercita la forza oscuramente maligna del suo padrone per schiacciare lo spirito di Grimgor una volta per tutte.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chd_ast_dilemma_old_foeSECOND	Il Martello di Hashut si abbatte con tutto il peso della forza meccanica di Astragoth, mandando in frantumi il cranio di Grimgor.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chd_dra_dilemma_witch_kings_giftFIRST	Schiavizza i Prigionieri	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chd_dra_dilemma_witch_kings_giftSECOND	Sacrifica i Prigionieri	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chd_dra_dilemma_witch_kings_giftFIRST	Gli unomini del Catai non sono estranei ai lavori forzati. Mandateli alle fabbriche!	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chd_dra_dilemma_witch_kings_giftSECOND	Dai fuoco alla nave. Lasciali bruciare tutti! Hashut considererà sicuramente favorevolmente questa grande offerta.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chd_zha_dilemma_marcher_fortressFIRST	Dai priorità alle armi magiche	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chd_zha_dilemma_marcher_fortressSECOND	Dai priorità agli armamenti infernali	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chd_zha_dilemma_marcher_fortressFIRST	I Profeti-Stregoni utilizzeranno con entusiasmo queste armi.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chd_zha_dilemma_marcher_fortressSECOND	I Forgiademoni potrebbero imparare molto dallo studio di queste armi.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_emp_vol_dilemma_final_sealFIRST	Non c'è riposo per i dannati	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_emp_vol_dilemma_final_sealSECOND	Vigilanza eterna	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_emp_vol_dilemma_final_sealFIRST	Volkmar decreta che la prossima guerra santa debba iniziare immediatamente. Il caos non dorme mai, e nemmeno i migliori di Sigmar!	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_emp_vol_dilemma_final_sealSECOND	Sebbene una minaccia per la nazione sia stata affrontata, altre continuano senza dubbio a diffondersi. Dobbiamo essere pronti!	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_bel_dilemma_aetherophasic_engineFIRST	Bersaglia gli Alti Elfi	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_bel_dilemma_aetherophasic_engineSECOND	Bersaglia l'Impero	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_bel_dilemma_aetherophasic_engineTHIRD	Bersaglia i Bretonniani	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_chs_bel_dilemma_aetherophasic_engineFOURTH	Bersaglia i Nani	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_bel_dilemma_aetherophasic_engineFIRST	Agli Elfi ficcanaso di'Ulthuan verrà finalmente insegnata una lezione di rispetto.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_bel_dilemma_aetherophasic_engineSECOND	Il Primo Dannato riuscirà dove tutti gli altri Prescelti hanno fallito: abbatterà l'Impero dell'Uomo.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_bel_dilemma_aetherophasic_engineTHIRD	I cavallereschi Bretonniani... folli tutti. Adesso rispondono a un nuovo signore.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_chs_bel_dilemma_aetherophasic_engineFOURTH	Gli stoici Nani, sempre il baluardo contro le legioni degli Dei Oscuri. Finisce oggi.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_bst_mal_dilemma_harbingerFIRST	Massacra i Sigmariti	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_bst_mal_dilemma_harbingerSECOND	Brucia i Bretonniani	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_bst_mal_dilemma_harbingerTHIRD	Insegui gli orgogliosi	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_bst_mal_dilemma_harbingerFOURTH	Scortica gli abitanti del sud	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_bst_mal_dilemma_harbingerFIRST	Lo sciame di corvi di Malagor discende sugli ultimi resti dei guerrieri di Volkmar, facendoli a pezzi in un turbinio di becchi e artigli.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_bst_mal_dilemma_harbingerSECOND	Su istruzione di Malagor, gli Ungor si misero al lavoro accatastando tronchi e accendendo una pira sacrificale.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_bst_mal_dilemma_harbingerTHIRD	Una banda malmessa di Elfi e Nani si fa strada attraverso le Terre del Sud, sperando di perdere i propri inseguitori nel fitto sottobosco. Non andranno lontano. Che la caccia abbia inizio!	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_bst_mal_dilemma_harbingerFOURTH	Questi rettili avrebbero potuto servire come guerrieri in qualsiasi branco da guerra. Invece, negarono la propria natura selvaggia e rimasero fianco a fianco con i senza-corna. Scortica le loro pelli squamose!	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_lzd_maz_dilemma_unity_spiritFIRST	Vassallizza	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_lzd_maz_dilemma_unity_spiritSECOND	Confedera	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_lzd_maz_dilemma_unity_spiritFIRST	“Il Grande Piano sarà servito meglio in forza dei numeri”.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_lzd_maz_dilemma_unity_spiritSECOND	“La volontà degli Antichi è chiara: tutti devono unirsi allo Stendardo del sole bruciante.”	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_emp_mar_dilemma_hunting_trophyFIRST	Gargantulzan	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_emp_mar_dilemma_hunting_trophySECOND	La Bestia del Clan Pestilens	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_emp_mar_dilemma_hunting_trophyTHIRD	Bracchus	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_emp_mar_dilemma_hunting_trophyFOURTH	Bestia Marina di Harkon	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_emp_mar_dilemma_hunting_trophyFIRST	Lo scheletro ricomposto del grande Carnosauro chiamato dagli Scinchi "Gargantulzan" sovrasta gli altri reperti. Ci volle il fuoco prolungato di non meno di tre batterie di artiglieria per abbatterlo.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_emp_mar_dilemma_hunting_trophySECOND	Questo colossale Rattogre puzza ancora come la morte, nonostante i migliori sforzi del tassidermista. La bestia fu abbattuta da un singolo colpo di lancia di una Luminarca di Hysh.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_emp_mar_dilemma_hunting_trophyTHIRD	La testa preservata del Drago Nero, Bracchus, fissa tutti coloro che entrano nella Sala dei Trofei, il suo volto orribile è ancora congelato in un ruggito spaventoso.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_emp_mar_dilemma_hunting_trophyFOURTH	Un esoscheletro di crostaceo iridescente, di dimensioni paragonabili a quelle di un piccolo edificio, è tutto ciò che resta del temibile mostro marino che un tempo predava le navi lungo la Costa dei Vampiri.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_tre_dilemma_ambush_everpeakFIRST	Assumi il comando	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_tre_dilemma_ambush_everpeakSECOND	Fingi lealtà	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_tre_dilemma_ambush_everpeakFIRST	“Sono il Signore della Guerra Supremo di Monteterno! Se Kratch Zannadelfato vuole il mio posto, può venire a reclamarlo!”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_tre_dilemma_ambush_everpeakSECOND	“Che sfortunata serie di eventi! Oh, se solo Tretch fosse stato lì a salvarli..."	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_lzd_nak_dilemma_wu_xing_compassFIRST	Elimina gli uomini del Catai	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_lzd_nak_dilemma_wu_xing_compassSECOND	Pacifica gli uomini del Catai	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_lzd_nak_dilemma_wu_xing_compassFIRST	Il Grande Piano non lascia spazio alla misericordia. Questi sangue caldo devono essere eliminati dal continente.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_lzd_nak_dilemma_wu_xing_compassSECOND	I nostri diplomatici Scinchi più abili supplicheranno i loro leader. Sicuramente cederanno alla logica impeccabile degli Antichi.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_def_hel_dilemma_scouringFIRST	Tagliagli la gola	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_def_hel_dilemma_scouringSECOND	Mangia il suo cuore	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_def_hel_dilemma_scouringFIRST	Un lampo d'acciaio, uno spruzzo di sangue e la Regina Eterna non c'è più.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_def_hel_dilemma_scouringSECOND	Lasciamo che le folle latranti siano testimoni di questo banchetto oscuro.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_sni_dilemma_shadow_meets_bladeFIRST	Rivendica il Potere Oscuro	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_sni_dilemma_shadow_meets_bladeSECOND	Stai zitto, Demone!	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_sni_dilemma_shadow_meets_bladeFIRST	Snikch tiene alte le sue lame luminose, assaporando la sua ritrovata forza demoniaca. Lascia che il mondo tremi!	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_sni_dilemma_shadow_meets_bladeSECOND	Snikch cede le sue lame ai Veggenti Grigi, che legano il demone in una gabbia di pura warpietra. Sicuramente, questo essere antico ha molti segreti da rivelare...	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_dwf_ungr_dilemma_ambush_dukhyls_forestFIRST	Massacrali tutti	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_dwf_ungr_dilemma_ambush_dukhyls_forestSECOND	Dissolvi la magia di Drycha	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_dwf_ungr_dilemma_ambush_dukhyls_forestFIRST	“Gli Elgi hanno ritenuto opportuno unire le loro forze con gli spiriti traditori del bosco. Ora pagano il prezzo della loro stupidità!”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_dwf_ungr_dilemma_ambush_dukhyls_forestSECOND	Ungrim unisce i suoi bracciali runici, scatenando una potente esplosione di magia che libera gli Elfi dalla stregoneria di Drycha.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_vla_dilemma_last_standFIRST	Rianima i Morti	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_vmp_vla_dilemma_last_standSECOND	Razzia le Cripte	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_vla_dilemma_last_standFIRST	“Dobbiamo rinforzare le nostre fila per le guerre future. Cerca i loro morti e liberali dalle loro tombe!”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_vmp_vla_dilemma_last_standSECOND	“Le nostre casse si prosciugano. Dobbiamo innanzitutto saccheggiare le ricchezze della montagna”.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_nor_thr_dilemma_final_breathFIRST	Divoralo	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_nor_thr_dilemma_final_breathSECOND	Liquefalo	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_nor_thr_dilemma_final_breathFIRST	Non importa quanto abilmente brandisca la Spada del Vento, Aekold è destinato inesorabilmente alla gola di Throgg.	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_nor_thr_dilemma_final_breathSECOND	Neppure il Soffio della Vita può salvare Aekold dal diluvio della bile corrosiva di Throgg.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_grn_ska_dilemma_danger_dropsFIRST	Accetta l'offerta	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_grn_ska_dilemma_danger_dropsSECOND	Rifiuta l'offerta	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_grn_ska_dilemma_danger_dropsFIRST	“Ci aspetta un vero e proprio tesoro. Solo uno sciocco rifiuterebbe questa offerta!”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_grn_ska_dilemma_danger_dropsSECOND	“Quanto stupido crede che io sia? Uccidilo, Gobbla!”	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_mor_dilemma_crimson_conspiraciesFIRST	Rovescia Gnawdwell	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_skv_mor_dilemma_crimson_conspiraciesSECOND	Servi Gnawdwell	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_mor_dilemma_crimson_conspiraciesFIRST	Tali manie di grandezza possono provenire solo da uno Skaven che ha vissuto troppo a lungo. È giunto il momento per il Clan Mors di avere un nuovo Re della Guerra Tiranno Generale!	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_skv_mor_dilemma_crimson_conspiraciesSECOND	Grande sarà lo spargimento di sangue che verrà. Queek è pronto a massacrare chiunque oserà opporsi al nuovo regime.	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_def_malus_dilemma_mirror_mirrorFIRST	Lama Oscura ribelle	false
cdir_events_dilemma_choice_details_localised_choice_label_vco_def_malus_dilemma_mirror_mirrorSECOND	Schiavo obbediente	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_def_malus_dilemma_mirror_mirrorFIRST	“Tz'arkan ne ha il diritto. Non servirò più!”	false
cdir_events_dilemma_choice_details_localised_choice_title_vco_def_malus_dilemma_mirror_mirrorSECOND	Un altro sorso del suo elisir e il demone avrà la museruola... per ora.	false
